# Constellation Lines data file for KStars.
# Copyright 2004 by Jason Harris and Clemens (?)
# This file is licensed under the terms of the 
# GNU General Public License (GPL), Version 2:
# http://www.gnu.org/licenses/gpl.html
#
#
C Western
M 42560
D 43042
M 35468
D 30652
M 31295
D 30739
D 30652
D 30836
D 31237
D 31767
# 
# Pavo
M 203608
D 197051
D 190248
D 160635
D 171759
D 188228
D 197051
D 193924
# 
# Pegasus
M 217906
D 358
D 886
D 218045
D 217906
D 215182
D 210027
D 206901
M 217906
D 216131
D 215665
D 206859
D 203504
M 218045
D 215648
D 214923
D 210418
D 206778
# 
# Perseus
M 10516
D 17506
D 18925
D 20902
D 19476
D 19356
D 19058
D 17584
M 20902
D 22928
D 24760
D 24912
D 24398
D 23180
# 
# Phoenix
M 9362
D 9053
D 6595
D 2261
D 496
D 221760
D 222287
D 224554
M 496
D 4150
M 6595
D 6882
# 
# Pictor
M 50241
D 39523
D 39060
# 
# Pisces
M 7106
D 7964
D 7318
D 9270
D 10761
D 12446
D 10380
D 6186
D 4656
D 224617
D 222368
D 220954
D 220009
D 219615
D 220825
D 222603
D 223075
D 222368
# 
# Piscis Austrinus
M 216956
D 214748
D 210934
D 207155
D 206742
D 210049
D 213398
D 216336
D 216763
D 216956
# 
# Puppis
M 67523
D 63700
D 61555
D 60863
D 56855
D 47670
D 50310
D 64760
D 63922
D 66811
D 67523
# 
# Pyxis
M 74006
D 74575
D 75691
# 
# Reticulum
M 23817
D 27256
D 27442
D 25728
D 25422
D 25705
D 23817
# 
# Sagitta
M 189319
D 187076
D 185758
M 187076
D 185958
# 
# Sagittarius
M 167618
D 169022
D 165135
D 168454
D 169916
D 166937
M 169916
D 173300
D 175191
D 177716
D 176687
D 173300
M 176687
D 169022
D 168454
M 177716
D 184707
D 188603
D 189763
D 189118
D 189103
D 188114
D 181869
M 188114
D 181454
# 
# Scorpius
M 142669
D 143018
D 143275
D 144218
D 145502
M 143275
D 147165
D 148478
D 149438
D 151680
D 151890
D 152334
D 155203
D 159532
D 161471
D 160578
D 158926
# 
# Sculptor
M 5737
D 223352
D 219784
D 221507
# 
# Scutum
M 173764
D 171443
D 169156
M 171443
D 170296
# 
# Serpens Caput
M 141513
D 141795
D 140573
D 138917
D 141003
D 141477
D 142860
D 141003
# 
# Serpens Cauda
M 175639
D 168723
D 163917
D 160613
D 159876
D 156928
# 
# Sextans
M 85558
D 87887
D 90994
# 
# Taurus
M 21120
D 25204
D 27371
D 27697
D 28305
D 23630
M 28305
D 29763
D 35497
M 27371
D 28319
D 29139
D 37202
# 
# Telescopium
M 166063
D 169467
D 169767
# 
# Triangulum
M 13161
D 11443
D 14055
D 13161
# 
# Triangulum Australe
M 150798
D 141891
D 138538
D 135382
# 
# Tucana
M 211416
D 219571
D 1581
D 2885
M 1581
D 224686
# 
# Ursa Major
M 120315
D 116656
D 112185
D 106591
D 103287
D 95418
D 95689
D 106591
M 103287
D 102224
D 98262
D 98230
M 102224
D 96833
D 89758
D 89021
M 95418
D 84999
D 85235
D 82621
D 82328
D 76644
D 77327
M 95689
D 81937
D 71369
D 84999
# 
# Ursa Minor
M 142105
D 148048
D 137422
D 131873
D 142105
D 153751
D 166205
D 8890
# 
# Vela
M 68243
D 74956
