064508.917-0.0379-164258.11-1.206-1.6A0 Sirius          :alpha Canis Majoris  		   
062357.183+0.0034-524144.44+0.021-0.9F0 Canopus         :alpha Carinae  		   
143936.167-0.4949-605007.35+0.699+0.1G2 Rigel Kentaurus :alpha Centauri  		   
183656.336+0.0173+384701.18+0.286 0.1A0 Vega            :alpha Lyrae  			   
051641.358+0.0074+455952.98-0.424 0.2G0 Capella         :alpha Aurigae  		   
141539.687-0.0770+191056.77-1.998 0.2K0 Arcturus        :alpha Bootis  			   
051432.281+0.0002-081206.00-0.002 0.3B8pRigel           :beta Orionis  			   
073918.123-0.0474+051329.95-1.024 0.5F5 Procyon         :alpha Canis Minoris  		   
013742.925+0.0127-571412.13-0.034 0.6B5 Achernar        :alpha Eridani  		   
055510.321+0.0019+072425.43+0.010 0.6M0 Betelgeuse      :alpha Orionis  		   
195047.001+0.0363+085206.07+0.387 0.9A5 Altair          :alpha Aquilae  		   
140349.462-0.0035-602222.73-0.019 0.9B1 Hadar           :beta Centauri  		   
162924.449-0.0006-262555.17-0.021 1.1M5 Antares         :alpha Scorpii  		   
043555.243+0.0045+163033.36-0.190 1.1K5 Aldebaran       :alpha Tauri  			   
132511.601-0.0026-110940.64-0.027 1.2B2 Spica           :alpha Virginis  		   
074518.943-0.0474+280134.28-0.046 1.2K0 Pollux          :beta Geminorium  		   
204125.930+0.0004+451649.29+0.002 1.3A2pDeneb           :alpha Cygni  			   
225739.071+0.0257-293720.09-0.165 1.3A3 Fomalhaut       :alpha Piscis Austrini  	   
100822.317-0.0169+115802.02+0.008 1.3B8 Regulus         :alpha Leonis  			   
124743.293-0.0056-594119.34-0.012 1.5B1 Mimosa          :beta Crucis  			   
073435.994-0.0135+315318.54-0.098 1.6A0 Castor          :alpha Geminorium  		   
065837.561+0.0005-285819.41+0.004 1.6B1 Adhara          :epsilon Canis Majoris  	   
122635.948-0.0044-630556.50-0.012 1.6B1 Acrux           :alpha Crucis  			   
123109.953+0.0032-570647.56-0.263 1.6M3 Gacrux          :gamma Crucis  			   
082230.838-0.0033-593034.27+0.017 1.7+++Avior           :epsilon Carinae  		   
125401.757+0.0134+555735.55-0.005 1.7A0pAlioth          :epsilon Ursa Majoris  		   
052507.855-0.0006+062058.66-0.015 1.7B2 Bellatrix       :gamma Orionis  		   
173336.551+0.0001-370613.61-0.028 1.7B2 Shaula          :lambda Scorpii  		   
091312.080-0.0297-694301.96+0.108 1.8A0 Miaplacidus     :beta Carinae  			   
053612.812+0.0001-011207.05-0.002 1.8B0 Alnilam         :epsilon Orionis  		   
052617.516+0.0018+283626.63-0.176 1.8B8 Alnath          :beta Tauri  			   
063742.727+0.0030+162357.40-0.042 1.9A0 Alhena          :gamma Geminorium  		   
134732.440-0.0124+491848.06-0.010 1.9B3 Alkaid          :eta Ursa Majoris  		   
032419.371+0.0025+495140.31-0.025 1.9F5 Mirfak          :alpha Persei  			   
164839.936+0.0035-690139.56-0.032 1.9K2                        				   
080931.990-0.0001-472012.04+0.005 1.9OapRegor           :gamma Velorum  		   
182410.371-0.0026-342304.90-0.126 2.0A0 Kaus Australis  :epsilon Sagittari  		   
084442.239+0.0027-544229.86-0.078 2.0A0                        				   
054045.524+0.0002-015633.53-0.002 2.0B0                        				   
062241.966-0.0005-175721.59-0.002 2.0B1 Mirzam          :beta Canis Majoris  		   
173719.157+0.0015-425952.03+0.000 2.0F0 Sargas          :theta Scorpii 			   
070823.476-0.0003-262335.48+0.005 2.0F8pWezen           :delta Canis Majoris  		   
110343.695-0.0164+614503.17-0.067 2.0K0 Dubhe           :alpha Ursa Majoris  		   
021920.729-0.0005-025839.42-0.237 2.0M5eMira            :omicron Ceti  			   
000823.269+0.0104+290525.55-0.163 2.1A0pAlpheratz       :alpha Andromedae  		   
055931.733-0.0053+445650.72+0.000 2.1A0pMenkalinan      :beta Aurigae  			   
173456.075+0.0082+123336.21-0.226 2.1A5 Ras Alhague     :alpha Ophiuchi  		   
185515.918+0.0009-261748.21-0.054 2.1B3 Nunki           :sigma Sagittari  		   
202538.895+0.0014-564406.32-0.088 2.1B3 Peacock         :alpha Pavonis  		   
023148.711+0.2012+891550.64-0.016 2.1F8vPolaris         :alpha Ursa Minoris  		   
114903.582-0.0342+143419.40-0.114 2.2A2 Denebola        :beta Leonis  			   
054745.394+0.0002-094010.86-0.004 2.2B0 Saiph           :kappa Orionis  		   
220814.012+0.0128-465739.80-0.153 2.2B5 Al Na'ir        :alpha Gruis  			   
004335.383+0.0165-175911.85+0.032 2.2K0 Diphda          :beta Ceti  			   
092735.254-0.0008-083931.17+0.033 2.2K2 Alphard         :alpha Hydrae  			   
020710.398+0.0138+232744.61-0.149 2.2K2 Hamal           :alpha Arietis  		   
145042.375-0.0073+740919.74+0.012 2.2K5 Kocab           :beta Umi  			   
090759.800-0.0014-432557.22+0.014 2.2K5 Suhail          :lambda Velorum  		   
224240.067+0.0135-465304.92-0.011 2.2M3                 :beta Gruis  			   
153441.280+0.0091+264252.98-0.088 2.3A0 Alphecca        :alpha Coronae Borealis  	   
091705.403-0.0025-591631.14+0.007 2.3F0 Aspidiske       :iota Carinae  			   
202213.710+0.0004+401524.12+0.000 2.3F8pSadr            :gamma Cygni  			   
020353.977+0.0042+421946.96-0.052 2.3K0 Almach          :gamma Andromedae  		   
140640.962-0.0428-362212.14-0.520 2.3K0 Menkent         :theta Centauri 		   
080335.079-0.0021-400011.51+0.013 2.3Od Naos            :zeta Puppis  			   
110150.490+0.0100+562256.57+0.033 2.4A0 Merak           :beta Ursa Majoris  		   
124131.006-0.0192-485734.71-0.005 2.4A0                        				   
132355.550+0.0142+545531.39-0.020 2.4A2pMizar           :zeta Ursa Majoris  		   
072405.700-0.0002-291811.30+0.004 2.4B5pAludra          :eta Canis Majoris  		   
000910.719+0.0686+590858.99-0.183 2.4F5 Caph            :beta Cassiopeiae  		   
002617.076+0.0189-421821.76-0.395 2.4K0 Ankaa           :alpha Phoenicis  		   
165009.826-0.0492-341735.82-0.257 2.4K0                 :epsilon Scorpii  		   
175636.375-0.0007+512920.26-0.019 2.4K5 Eltanin         :gamma Draconis  		   
010943.942+0.0147+353713.93-0.113 2.4M0 Mirach          :beta Andromedae  		   
115349.835+0.0107+534141.15+0.012 2.5A0 Phecda          :gamma Ursa Majoris  		   
053200.397+0.0001-001756.81-0.002 2.5B0 Mintaka         :delta Orionis  		   
160020.021-0.0007-223718.01-0.022 2.5B0 Dschubba        :delta Scorpii  		   
174229.264-0.0006-390148.28-0.029 2.5B2                 :kappa Scorpii  		   
004030.465+0.0065+563214.43-0.032 2.5K0 Schedar         :alpha Cassiopeiae  		   
214411.166+0.0021+095230.00+0.000 2.5K0 Enif            :epsilon Pegasi  		   
143530.429-0.0031-420928.10-0.031 2.6+++                :eta Centauri  			   
230445.656+0.0043+151218.89-0.042 2.6A0 Markab          :alpha Pegasi  			   
171022.695+0.0027-154329.43+0.098 2.6A2                        				   
111406.498+0.0102+203125.26-0.130 2.6A3 Zozma           :delta Leonis  			   
211834.783+0.0220+623508.02+0.049 2.6A5 Alderamin       :alpha Cephei  			   
133953.282-0.0028-532758.72-0.013 2.6B1                 :epsilon Centauri  		   
092206.848-0.0007-550038.52+0.009 2.6B3 Markab          :kappa Velorum  		   
101958.346+0.0217+195029.93-0.147 2.6K0 Al Gieba        :gamma Leonis  			   
204612.686+0.0287+335812.92+0.328 2.6K0 Gienah          :epsilon Cygni  		   
230346.460+0.0142+280458.07+0.137 2.6M0 Scheat          :beta Pegasi  			   
055943.300+0.0040+371244.66-0.081 2.7A0p                       				   
190236.710-0.0012-295249.11-0.002 2.7A2                        				   
015438.402+0.0069+204828.73-0.112 2.7A5 Sheratan        :beta Arietis  			   
163709.548+0.0010-103401.55+0.027 2.7B0                 :zeta Ophiuchi  		   
151700.430-0.0064-092258.53-0.019 2.7B8 Zuben el Chamali:beta Librae  			   
053243.799+0.0000-174920.24+0.002 2.7F0 Arneb           :alpha Leporis  		   
144459.229-0.0037+270427.14+0.021 2.7K0 Pulcherrima     :epsilon Bootis  		   
071708.585-0.0004-370550.99+0.005 2.7K5                 :pi Puppis  			   
012548.986+0.0403+601406.91-0.052 2.8A5 Ruchbah         :delta Cassiopeiae  		   
005642.514+0.0035+604300.10-0.006 2.8B0pTsih            :gamma Cassiopeiae  		   
145831.910-0.0033-430802.46-0.040 2.8B2p                :beta Lupi  			   
173045.843-0.0001-371745.05-0.031 2.8B3 Lesath          :upsilon Scorpii  		   
053938.953+0.0006-340427.11-0.027 2.8B5pPhakt           :alpha Columbae  		   
121548.371-0.0112-173230.99+0.023 2.8B8 Gienah          :gamma Corvi  			   
135441.076-0.0044+182351.72-0.358 2.8G0 Muphrid         :eta Bootis  			   
104646.194+0.0075-492512.29-0.048 2.8G5                        				   
123423.241+0.0002-232348.22-0.053 2.8G5 Kraz            :beta Corvi  			   
154416.092+0.0092+062532.34+0.047 2.8K0 Unukalhai       :alpha Serpentis  		   
